FA #,SITE NAME,Subbed for Review,Approved,City  ,County,Address 1,Address 2,APN (Estimated from FN),,Previous Permit Documents,SLA/MLA/LDS,Title/Survey,,Landowner/LL,LL Address,LL Contact,LL Phone,Tower Owner (If Different),Tower Owner Contact Info (If Different),,Zoning JDX,Zoning JDX Contact,Title,Phone Number,Permit Process
10085968,JONATHAN CL/PCH OVLY - C694,7/20/21,,Santa Monica,LOS ANGELES,850 PALISADES BEACH ROAD,"Santa Monica, CA 90403",,,,,,,,,,,,,,,,,,
10068124,IM-019-01(LA535) PG and E PELATO PEAK,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10086809,FRITO LAY,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10086824,BKCL82/POSO CREEK,"New Site 7/1/21, form done",,,,,,,,,,,,,,,,,,,,,,,
10086827,ROSAMOND OVERLAY,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10086829,Ming and Gosford,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10086895,SBOV37-01 CENTRAL OXNARD,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10086913,GONZALES/HWY1,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10086925,Route 23,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10100025,VN0019-01 MACY'S,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10103653,First Methodist Church,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10103680,BK0349-01 MEMORIAL HOSPITAL,"New Site 7/1/21, form done",,,,,,,,,,,,,,,,,,,,,,,
10101441,SCE TOWER #01604071E/TIERRA REJADA,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10104110,SBV136-04 GARDEN HILTON,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10127627,VN0056-01 NORTH HIGHLAND PARK,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10127628,VN0053-01 CHRIST'S CHURCH OF THE VALLEY,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10150422,BK0363 -01 NILES FIREWOOD,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10150423,BK0364-01 WESLEY UNITED CHURCH,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10150424,BK0368 - 01 LAURLEGLEN BIBLE CHURCH,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10150425,BK0369 - HOWARD'S MINI MART,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10150428,BK0376 - GRACE COMMUNITY,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10150472,BK0361- 02 KB FARMS,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10150476,BK0374-01 AERA PARK,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10150533,BK0365 - ATC TOWER COLLOCATION,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10546960,BK0378,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
11585753,ALBERTSONS CENTER,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
12787052,DUFFEY CHURCH,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
12787094,CLV0611,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
12787096,CLV0613,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
13021951,FAKLER,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
13789244,GARCIA,New Site 7/1/21,,,,,,,,,,,,,,,,,,,,,,,
10086819,BAKERSFIELD,"New Site 7/1/21, added form",,,,,,,,,,,,,,,,,,,,,,,
10094644,BKC320-01 HWY 395 and LITTLE ROCK RD,previously submitted,,,INYO,Hwy 395 and Little Lake Rd,,,,,,,,,,,,,,,,,,,
10087183,COLORADO / LOS ROBLES,previously submitted,,,LOS ANGELES,150 NORTH MADISON,,,,,,,,,,,,,,,,,,,
10094644,BKC320-01 HWY 395 and LITTLE ROCK RD,previously submitted,,,LOS ANGELES,10643 Glenoaks Blvd,,,,,,,,,,,,,,,,,,,
10068718,NOGUEIRA BUILDING,previously submitted,,,LOS ANGELES,500 York Blvd,,,,,,,,,,,,,,,,,,,
10087408,NEW STUDIO ALBAIN,previously submitted,,,LOS ANGELES,16829 Saticoy,,,,,,,,,,,,,,,,,,,
10086742,FWY 101 / Etiwanda,previously submitted,,,LOS ANGELES,5525 Etiwanda Ave,,,,,,,,,,,,,,,,,,,
10087226,S LOS ROBLES and CORDOVA,previously submitted,,,LOS ANGELES,303 CORDOVA STREET,,,,,,,,,,,,,,,,,,,
10103497,EAGLE ROCK and LINCOLN,previously submitted,,,LOS ANGELES,4364 Eagle Rock Blvd,,,,,,,,,,,,,,,,,,,
10086050,Laurel Canyon/101 OVLY C545,previously submitted,,,LOS ANGELES,4705 Laurel Canyon Blvd,,,,,,,,,,,,,,,,,,,
11650436,CLU5014_RELO,previously submitted,,,LOS ANGELES,6240 Foothill Blvd,,,,,,,,,,,,,,,,,,,
10112070,NL0148-03 DATA GRAPHICS,previously submitted,,,LOS ANGELES,6829 Lankersheim Blvd,,,,,,,,,,,,,,,,,,,
10103660,LADWP,r4r,,ARLETA,LOS ANGELES,9400 CANTERBURY AVENUE,"ARLETA, CA 91331",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10127632,RS0231-91 HERITAGE PALMS,r4r,,INDIO,RIVERSIDE,80761 FRED WARING DRIVE DUP1,"INDIO, CA 92201",,,,,,,,,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10085963,SUNSET/SANTA MO OVLY - C632,r4r,,WEST HOLLYWOOD,LOS ANGELES,1017 NORTH LA CIENEGA,"WEST HOLLYWOOD, CA 90069",4339-003-008,,,,,,1017 LCB LLC,,,,,,,City of West Hollywood,,,,
10115629,NL0351-01 SAFARI BUILDING,r4r,,GLENDALE,LOS ANGELES,1104 EAST BROADWAY,"GLENDALE, CA 91205",5674-012-023,,,,,,1100 E BROADWAY LLC,"511 N REXFORD DR , BEVERLY HILLS, CA 90210-3309",,,,,,TBD (Not City of LA),,,,
10104118,LA0627-02 A1 ROOFING,r4r,,CARSON,LOS ANGELES,22029 FIGUEROA STREET,"CARSON, CA 90745",7341-001-095,,,,,,22029 S FIGUEROA STREET LLC,"35 CREST RD E , ROLLING HILLS, CA 90274-5224",Craig Ekberg,,,,,TBD (Not City of LA),,,,
10105566,LA8102-04 RANCON,r4r,,MURRIETA,RIVERSIDE,38365 INNOVATION COURT,"MURRIETA, CA 92563",957-330-020,,,,,,38365 INNOVATION,,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10087278,MAIN / GRANADA,r4r,,ALHAMBRA,LOS ANGELES,500 EAST MAIN STREET,"ALHAMBRA, CA 91801",5345-016-806 and 5345-016-807,,,,,,AHMC Properties,"555 Raymond Ave, Suite 105, Alhambra, CA, 91801",http://ww9.ahmc-assetmgmt.com,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10115939,MERCED AND BIG DALTON,r4r,,BALDWIN PARK,LOS ANGELES,3649 BALDWIN PARK BOULEVARD,"BALDWIN PARK, CA 91706",8555-001-008,,,,,,ARCE MIKE A,"3612 BALDWIN PARK BLVD, BALDWIN PARK, CA, 91706",,,,,,LA County,,,,
10087312,S VALLEY CENTER and PALOPINTO RD,r4r,,GLENDORA,LOS ANGELES,2025 EAST FINANCIAL WAY,"GLENDORA, CA 91741",8660-011-021,,,,,,"CALPORTLAND COMPANY,",,,,,,,LA County,,,,
10115927,SBSB08-01 Granada Theater,r4r,,SANTA BARBARA,RIVERSIDE,1216 STATE STREET,"SANTA BARBARA, CA 93101",,,,,,,"could not confirm on Ticor, wait for CDs",,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10101424,BALDWIN/DUARTE ROAD / T022,r4r,,ARCADIA,LOS ANGELES,650 WEST DUARTE ROAD,"ARCADIA, CA 91007",5784-003-027,,,,,,M AND H CAPITAL INC & FIRST ARCADIA CAPITAL LLC,,,,,,,LA County,,,,
10085985,C147/BEVERLY HILLS OVLY - C147 DAS ISE,r4r,,BEVERLY HILLS,LOS ANGELES,464 NORTH REXFORD DRIVE,"BEVERLY HILLS, CA 90210",8940-041-017,,,,,,MELIK S INC,"650 E PALM AVE APT 305 , BURBANK, CA 91501-2099",,,,,,City of Beverly Hills,,,,
10085987,PICO/BEVERWIL OVLY - C170,r4r,,Beverly Hills,LOS ANGELES,1224 SOUTH BEVERWIL DRIVE,"LOS ANGELES, CA 90035",4330-024-015,,,,,,MORNING VIEW HOTELS B H I LLC,"9255 W SUNSET BLVD # P , WEST HOLLYWOOD, CA 90069-3309",Bob Ghassemieh,,,,,City of Beverly Hills,,,,
10086719,MT SAN ANTONIO COLLEGE,r4r,,WALNUT,LOS ANGELES,1100 NORTH GRAND AVENUE,"WALNUT, CA 91789",8710-002-905,,,,,,MT SAN ANTONIO COMMUNITY COLLEGE,,,,,,,LA County,,,,
10085887,LAC451-01 IMPERIAL/CRENSH OVLY - C451,r4r,,INGLEWOOD,LOS ANGELES,2930 WEST IMPERIAL HIGHWAY,"INGLEWOOD, CA 90303",4056-001-037,,,,,,PURSCHE-GILLINGHAM LLC LESSOR; UPSIDE CRENSHAW HOLDING LLC LSEE,,,,,,,TBD (Not City of LA),,,,
11553768,CLU5024,r4r,,SAN JACINTO,RIVERSIDE,651 NORTH STATE STREET,"SAN JACINTO, CA 92583",434-070-041       ,,,,,,RAMONA CROSSINGS        ,"14916 GAVAN VISTA RD , FALLBROOK, CA 92028",,,,,,City of San Jacinto,,,,
10104186,CS PROPERTIES,r4r,,LAGUNA BEACH,ORANGE,105 CRESCENT BAY DRIVE,"LAGUNA BEACH, CA 92651",053-132-67,,,,,,SARIKCIOGLU CENGIZ TR C; SARIKCIOGLU SEPARATE PROPERTY TR,,,,,,,Orange County,Cynthia Burgos,Contract Planner,(714) 667-8898,
12731249,DESERT OASIS,r4r,,PALM DESERT,RIVERSIDE,74200 COUNTRY CLUB DRIVE,"PALM DESERT, CA 92260",620-430-039,,,,,,SE CALIF CONFER OF SEVENTH DAY ADVENTISTS; PEACE LUTHERAN CHURCH,"74200 COUNTRY CLUB DR, PALM DESERT, RIVERSIDE, CA 92260-1688",,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10574392,WASTE WATER,r4r,,EASTVALE,RIVERSIDE,14700 RIVER ROAD,"EASTVALE, CA 92880",130-040-004,,,,,,WESTERN RIV CO REG WASTEWATER AUTHORITY SAWPA,,,,,,,City of Eastvale,,,,
10085801,C303/10 FWY/New Avenue,r4r,,ALHAMBRA,LOS ANGELES,1400 1/2 East Valley Boulevard,"Alhambra, CA 91803",,,,,,,Winner’s Investment Group No One. -  Taigod3 LLC. 626-454-2382/ATT TOWER OWNED,"1601 South 6th Street, Alhambra, CA, 91803",Ken Lai,626-922-2972,AT&T ,626-454-2382,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10085816,Arcadia,r4r,,ARCADIA,LOS ANGELES,35 West Huntington Drive,"Arcadia, CA 91007",,,,,,,,,,,,,,LA County,,,,
10086104,BURBANK,r4r,,BURBANK,LOS ANGELES,101 SOUTH FIRST STREET,"BURBANK, CA 91502",,,,,,,,,,,,,,Burbank,,,,
10087189,CITRUS / 210 FWY,r4r,,GLENDORA,LOS ANGELES,523 WEST CITRUS EDGE STREET,"GLENDORA, CA 91740",,,,,,,,,,,,,,LA County,,,,
10085800,Glendora,r4r,,GLENDORA,LOS ANGELES,510 SOUTH GRAND,"GLENDORA, CA 91741",,,,,,,,,,,,,,LA County,,,,
10105567,LA3191-04 TILLY'S,r4r,,IRVINE,RIVERSIDE,10 WHATNEY,"IRVINE, CA 92618",,,,,,,,,,,,,,City of Irvine,,,,
13708264,BIG HORN,r4r,,PALM DESERT,RIVERSIDE,255 PALOWET DRIVE,"PALM DESERT, CA 92260",771-340-008,,,,,,BIGHORN GOLF CLUB,"255 PALOWET DR, PALM DESERT, RIVERSIDE, CA 92260-7311",,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10150466,RS0330-03 BEREAN FELLOWSHIP BAPTIST CHURCH,r4r,,HEMET,RIVERSIDE,371 NORTH SANDERSON AVENUE,"HEMET, CA 92545",448-230-020,,,,,,BEREAN FELLOWSHIP BAPTIST CHURCH OF HEMET,,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10103979,ES0109-02 MARGARITA SQUARE,r4r,,MURRIETA,RIVERSIDE,39400 MURRIETA HOT SPRINGS ROAD,"MURRIETA, CA 92563",913-150-016,,,,,,CALVARY CHAPEL OF COSTA MESA INC,,,,,,,City of Murietta,,,,
10150420,RS0329-02 FIESTA,r4r,,HEMET,RIVERSIDE,43763 FLORIDA AVENUE,"HEMET, CA 92544",549-161-038,,,,,,CAMPBELL FAMILY TRUST UTD (07/06/2016),,,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10144133,RS0279-01 CACTUS BOOSTER STATION,r4r,,RIVERSIDE,RIVERSIDE,21890 CACTUS AVENUE,"RIVERSIDE, CA 92518",,,,,,,"could not confirm on Ticor, wait for CDs",,,,,,,City of Riverside,Lisa Rieger,Development Services Representative,951-826-5800,
10150465,RS0328-01 HAUN PROFESSIONAL CENTER,r4r,,MENIFEE,RIVERSIDE,29826 HAUN ROAD,"MENIFEE, CA 92586",336-380-055,,,,,,HAUN PROFESSIONAL,,,,,,,City of Menifee,,,,
11671905,RS0350-01 FARM COUNTRY,r4r,,CORONA,RIVERSIDE,14604 PROMONTORY AVENUE,"CORONA, CA 92880",144-760-032,,,,,,WESTSTEYN FRIEDA,,,,,,,City of Corona,,,,
10112618,CORONA SWITCH STATION,r4r,,CORONA,RIVERSIDE,3960 SOUTH MAIN STREET,"Corona, CA 92882",,,,,,,,,,,,,,City of Corona,,,,
10101308,LA0617-01 ABBEYWOOD/LAMPSON,zoning done,,City of Industry,LOS ANGELES,3552 1/2 SAN GABRIEL RIVER PARKWAY,"PICO RIVERA, CA 90660       ",,,,,,,,,,,,,,,,,,
10086681,185TH STE AND E AVENUE,zoning done,,Lancaster,LOS ANGELES,185TH STREET EAST AND AVENUE EAST,"Lancaster, CA 93534",,,,,,,,,,,,,,Los Angeles COunty,,,,
10086741,14 FWY AND AVE J,zoning done,,Lancaster,LOS ANGELES,2103 WEST AVENUE J,"Lancaster, CA 93536",,,,,,,,,,,,,,Los Angeles COunty,,,,
10087280,MAGIC MTN / VALENCIA,"zoning done, ip ",,Santa Clarita,LOS ANGELES,24200 MAGIC MOUNTAIN PARKWAY,"Santa Clarita, CA 91355",,,,,,,,,,,,,,,,,,
10552269,LA0506 - LAX TEMP SITE #2,"zoningdone, waiting for melissa",,Los Angeles,LOS ANGELES,1 WORLD WAY P3,"Los Angeles, CA 90045",,,,,,,,,,,,,,,,,,
10086116,SANTA MONICA/101 FWY,,,,LOS ANGELES,5505 SANTA MONICA BOULEVARD,,,,,,,,,,,,,,,,,,,
10086663,S HOOVER - W 106TH,,,,LOS ANGELES,10611 SOUTH HOOVER,,,,,,,,,,,,,,,,,,,
10086751,HOLLYWOOD AND WESTERN,,,,LOS ANGELES,5500 HOLLYWOOD BOULEVARD,,,,,,,,,,,,,,,,,,,
10094579,S VERMONT - W 88TH,,,,LOS ANGELES,1201 MANCHESTER AVENUE,,,,,,,,,,,,,,,,,,,
10086043,C443/COLDWATER OVLY - C443,,,,LOS ANGELES,12840 RIVERSIDE DRIVE,,,,,,,,,,,,,,,,,,,
11585718,NL0497-01 VALLARTA SHOPPING CENTER,,,,LOS ANGELES,1801 WEST AVENUE I,,,,,,,,,,,,,,,,,,,
10085685,CULVER CITY OVLY - C055,,,,LOS ANGELES,3000 ROBERTSON BOULEVARD,,,,,,,,,,,,,,,,,,,
10085687,101/VERMONT OVLY - C057,,,,LOS ANGELES,340 1/2 NORTH MADISON AVENUE,,,,,,,,,,,,,,,,,,,
10552268,LA0486 - LAX TEMP SITE #1,,,,LOS ANGELES,1 WORLD WAY 2A,,,,,,,,,,,,,,,,,,,
10086129,CAHUENGA/SUNSET OVLY - C633,,,,LOS ANGELES,6515 WEST SUNSET BOULEVARD,,,,,,,,,,,,,,,,,,,
11650444,EL0506-CLV1621,,,,LOS ANGELES,8200 WILSHIRE BOULEVARD,,,,,,,,,,,,,,,,,,,
13014409,UHAUL,,,,LOS ANGELES,657 SOUTH ATLANTIC BOULEVARD,,,,,,,,,,,,,,,,,,,
10087440,SV-035-02(VY053) EXISTING ST ANTHONY,,,,LOS ANGELES,1901 SOUTH SAN GABRIEL BOULEVARD,,,,,,,,,,,,,,,,,,,
10085955,OVERLAND/VENICE,,,,LOS ANGELES,3701 OVERLAND AVENUE,,,,,,,,,,,,,,,,,,,
10087339,3RD - W57TH,,,,LOS ANGELES,2801 WEST 54TH STREET,,,,,,,,,,,,,,,,,,,
10150448,BEVERLY AND ROBINSON,,,,LOS ANGELES,3215 WEST BEVERLY BOULEVARD,,,,,,,,,,,,,,,,,,,
10086665,S NORMANDIE - W 52TH,,,,LOS ANGELES,1500 WEST 51ST PLACE,,,,,,,,,,,,,,,,,,,
10086718,PARAMOUNT PICTURES,,,,LOS ANGELES,5555 MELROSE AVENUE,,,,,,,,,,,,,,,,,,,
10127658,EL0326-02 ISRAEL MISSIONARY BAPTIST CHURCH,,,,LOS ANGELES,4501 SOUTH COMPTON AVENUE,,,,,,,,,,,,,,,,,,,
10085773,OAK KNOLL/HUNTINGTON,,,,LOS ANGELES,936 HUNTINGTON DRIVE,,,,,,,,,,,,,,,,,,,
10085851,LAC708-01 LAX,,,,LOS ANGELES,6171 WEST CENTURY BOULEVARD,,,,,,,,,,,,,,,,,,,
10085853,LOMITA AND NARBONNE,,,,LOS ANGELES,24300 NARBONNE AVENUE,,,,,,,,,,,,,,,,,,,
10107941,SV0074-02 LA TIMES BUILDING,,,,LOS ANGELES,1333 MAYFLOWER AVENUE,,,,,,,,,,,,,,,,,,,
14024032,PARK TERRACE DRIVE,,,,LOS ANGELES,6801 PARK TERRACE DRIVE,,,,,,,,,,,,,,,,,,,
